	00:00	00:10	00:20	00:30	00:40	00:50	01:00
AUCBOT	0	0	0	0	0	0	0	
AUCSTR	0	0	0	0	0	0	0	
AUCEND	0	0	0	0	0	0	0	
AUCIC	0	0	0	0	0	0	0	
AUCDRI	2880	2880	2880	2880	2880	2880	288	
AUCUNS	0	0	0	0	0	0	0	
AUCSTS	0	0	0	0	0	0	0	
AUCARA	0	0	0	0	0	0	0	
AUCEVE	0	0	0	0	0	0	0	
AUCSEN	240	240	240	240	240	240	24	
AUCVID	0	0	0	0	0	0	0	
ADXVID	0	0	0	0	0	0	0	
BUXVID	0	0	0	0	0	0	0	
CDCVID	0	0	0	0	0	0	0	
CUCVID	0	0	0	0	0	0	0	
ADXDRI	0	0	0	0	0	0	0	
BUXDRI	0	0	0	0	0	0	0	
ADXRGG	0	0	0	0	0	0	0	
BUXRGG	0	0	0	0	0	0	0	
ADCRGS	0	0	0	0	0	0	0	
DDCRGS	0	0	0	0	0	0	0	
ADCDNS	0	0	0	0	0	0	0	
ADXPRG	0	0	0	0	0	0	0	
BUXPRG	0	0	0	0	0	0	0	
ADCPRS	0	0	0	0	0	0	0	
ADXMSG	0	0	0	0	0	0	0	
BUXMSG	0	0	0	0	0	0	0	
AUCCFM	0	0	0	0	0	0	0	
OK	0	0	0	0	0	0	0	
ER	0	0	0	0	0	0	0	
AUCOSP	0	0	0	0	0	0	0	
ADXLOG	0	0	0	0	0	0	0	
BUXLOG	0	0	0	0	0	0	0	
CDCLOG	0	0	0	0	0	0	0	
CUCLOG	0	0	0	0	0	0	0	
ADCFIM	0	0	0	0	0	0	0	
AUCEXS	0	0	0	0	0	0	0	
AUCXEV	0	0	0	0	0	0	0	
ADXSDG	0	0	0	0	0	0	0	
BUXSDG	0	0	0	0	0	0	0	
ADCSDS	0	0	0	0	0	0	0	
CDCPBS	0	0	0	0	0	0	0	
CUCPBS	0	0	0	0	0	0	0	
AUCPBC	0	0	0	0	0	0	0	
AUCREM	0	0	0	0	0	0	0	
CDCREQ	0	0	0	0	0	0	0	
CUCREQ	0	0	0	0	0	0	0	
