テスト項目,,,,,,チェック項目,,テスト結果,
No,大分類,,小分類,,,確認内容,備考,担当者,結果
,,,区分,条件,確認手順,,,,
1,Shellプログラム,正常実行,正常系,"①binディレクトリ内にcar_messageMaker.lockがないこと
②ディスクフルでないこと
③ディレクトリ構成が正常なこと
④confディレクトリ内にcar_messageMaker_config.propatiesがあること
⑤car_messageMaker_config.propatiesに正しいJava実行パス/ライブラリパスが記述していること
⑥libディレクトリ内にcar_messageMaker.jarがあること",ターミナルよりbinディレクトリ内のmessageMakerStart.shを実行,"・ターミナル画面上に下記文面が表示されていること
開始：ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了：ツール実行",,,〇
2,,jar実行失敗,準正常系,"上記①②③④⑤を満たすこと
libディレクトリ内にcar_messageMaker.jarがないこと",,"・ターミナル画面上に下記文面が表示されていること
開始：ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
開始：Javaプログラム
警告：Javaプログラム失敗
終了：ツール実行",,,〇
3,,プロパティファイル誤り,準正常系,"上記①②③④を満たすこと
car_messageMaker_config.propatiesにJava実行パスがないこと",,"・ターミナル画面上に下記文面が表示されていること
開始：ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
警告：プロパティファイル中のJAVA実行パスに誤りがあります。
終了：ツール実行",,,〇
4,,,準正常系,"上記①②③④を満たすこと
car_messageMaker_config.propatiesにJavaライブラリパスがないこと",,"・ターミナル画面上に下記文面が表示されていること
開始：ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
警告：プロパティファイル中のJAVAライブラリパスに誤りがあります。
終了：ツール実行",,,〇
5,,,準正常系,"上記①②③④を満たすこと
confディレクトリ内にcar_messageMaker_config.propatiesがないこと",,"・ターミナル画面上に下記文面が表示されていること
開始：ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
警告：プロパティファイルが存在しません。
終了：ツール実行",,,〇
6,,ディレクトリ構成誤り,準正常系,"上記①②を満たすこと
confディレクトリがないこと",,"・ターミナル画面上に下記文面が表示されていること
開始：ツール実行
開始：ディレクトリチェック
警告：confディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
警告：プロパティファイルが存在しません。
終了：ツール実行",,,〇
7,,,準正常系,"上記①②を満たすこと
inディレクトリがないこと",,"開始：ツール実行
開始：ディレクトリチェック
警告：inディレクトリが存在しません。ディレクトリを作成します。
警告：in/successディレクトリが存在しません。ディレクトリを作成します。
警告：in/errorディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了：ツール実行",,,〇
8,,,準正常系,"上記①②を満たすこと
in/successディレクトリがないこと",,"開始：ツール実行
開始：ディレクトリチェック
警告：in/successディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了：ツール実行",,,〇
9,,,準正常系,"上記①②を満たすこと
in/errorディレクトリがないこと",,"開始：ツール実行
開始：ディレクトリチェック
警告：in/errorディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了：ツール実行",,,〇
10,,,準正常系,"上記①②を満たすこと
libディレクトリがないこと",,"開始：ツール実行
開始：ディレクトリチェック
警告：libディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
警告：Javaプログラム失敗
終了：ツール実行",,,〇
11,,,準正常系,"上記①②を満たすこと
logディレクトリがないこと",,"開始：ツール実行
開始：ディレクトリチェック
警告：logディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了：ツール実行",,,〇
12,,,準正常系,"上記①②を満たすこと
outディレクトリがないこと",,"開始：ツール実行
開始：ディレクトリチェック
警告：outディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了：ツール実行",,,〇
13,,ディスクフル,異常系,"①binディレクトリ内にcar_messageMaker.lockがないこと
ディスクフルの状態のこと",ディスクフルは再現不可能なため、シェルスクリプト内のディスクフルの判定閾値を下げて実行,"開始：ツール実行
警告：ディスクフル
終了：ツール実行",,,〇
14,,多重実行,異常系,binディレクトリ内にcar_messageMaker.lockがあること,,"開始：ツール実行
既に実行しているため多重実行できません",,,〇
15,Batプログラム,正常実行,正常系,"①binディレクトリ内にcar_messageMaker.lockがないこと
②ディスクフルでないこと
③ディレクトリ構成が正常なこと
④confディレクトリ内にcar_messageMaker_config.propatiesがあること
⑤car_messageMaker_config.propatiesに正しいJava実行パス/ライブラリパスが記述していること
⑥libディレクトリ内にcar_messageMaker.jarがあること",ターミナルよりbinディレクトリ内のmessageMakerStart.shを実行,"開始:ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了:ツール実行",,,〇
16,,jar実行失敗,準正常系,"上記①②③④⑤を満たすこと
libディレクトリ内にcar_messageMaker.jarがないこと",,"開始:ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
開始：Javaプログラム
警告：Javaプログラム失敗
終了:ツール実行",,,〇
17,,プロパティファイル誤り,準正常系,"上記①②③④を満たすこと
car_messageMaker_config.propatiesにJava実行パスがないこと",,"開始:ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
警告：プロパティファイル中のJava実行パスに誤りがあります
終了:ツール実行",,,〇
18,,,準正常系,"上記①②③④を満たすこと
car_messageMaker_config.propatiesにJavaライブラリパスがないこと",,"開始:ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
警告：プロパティファイル中のJavaライブラリパスに誤りがあります
終了:ツール実行",,,〇
19,,,準正常系,"上記①②③④を満たすこと
confディレクトリ内にcar_messageMaker_config.propatiesがないこと",,"開始:ツール実行
開始：ディレクトリチェック
終了：ディレクトリチェック
警告：プロパティファイルが存在しません
終了:ツール実行",,,〇
20,,ディレクトリ構成誤り,準正常系,"上記①②を満たすこと
confディレクトリがないこと",,"開始:ツール実行
開始：ディレクトリチェック
警告：confディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
警告：プロパティファイルが存在しません
終了:ツール実行",,,〇
21,,,準正常系,"上記①②を満たすこと
inディレクトリがないこと",,"開始:ツール実行
開始：ディレクトリチェック
警告：inディレクトリが存在しません。ディレクトリを作成します。
警告：errorディレクトリが存在しません。ディレクトリを作成します。
警告：successディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了:ツール実行",,,〇
22,,,準正常系,"上記①②を満たすこと
in/successディレクトリがないこと",,"開始:ツール実行
開始：ディレクトリチェック
警告：successディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了:ツール実行",,,〇
23,,,準正常系,"上記①②を満たすこと
in/errorディレクトリがないこと",,"開始:ツール実行
開始：ディレクトリチェック
警告：errorディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム終了：Javaプログラム
終了:ツール実行",,,〇
24,,,準正常系,"上記①②を満たすこと
libディレクトリがないこと",,"開始:ツール実行
開始：ディレクトリチェック
警告：libディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
警告：Javaプログラム失敗
終了:ツール実行",,,〇
25,,,準正常系,"上記①②を満たすこと
logディレクトリがないこと",,"開始:ツール実行
開始：ディレクトリチェック
警告：logディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム終了：Javaプログラム
終了:ツール実行",,,〇
26,,,準正常系,"上記①②を満たすこと
outディレクトリがないこと",,"開始:ツール実行
開始：ディレクトリチェック
警告：outディレクトリが存在しません。ディレクトリを作成します。
終了：ディレクトリチェック
開始：Javaプログラム
終了：Javaプログラム
終了:ツール実行",,,〇
27,,ディスクフル,異常系,"①binディレクトリ内にcar_messageMaker.lockがないこと
ディスクフルの状態のこと",ディスクフルは再現不可能なため、スクリプト内のディスクフルの判定閾値を下げて実行,"開始:ツール実行
警告：ディスクフル
終了:ツール実行",,,〇
28,,多重実行,異常系,binディレクトリ内にcar_messageMaker.lockがあること,,"開始:ツール実行
警告：既に起動しているため多重実行できません
終了:ツール実行",,,〇
